Title,Date Issued,Date,Spatial Coverage,Extent,Provenance,Coverage,Publisher,Subject,Contributor,Creator,Description,File,Identifier,Rights,Source
Four dollars reward,1798-08-08,1798-07-11,"Chowan County, NC",Edenton,"Edenton, NC",Edenton,State Gazette of North Carolina,Sip,George MacKenzy,George MacKenzy,"FOUR DOLLARS REWARD.    RUN AWAY from the subscriber on the 11th instant, a yellow negro slave, about twenty years old, named SIP; has been to sea. I have been informed of his being harboured about town. I forwarn all Captains of vessels from carrying him on board their vessels, or employing him upon any pretence whatever; and all persons from harbouring him in their kitchens, houses or premises, as they may depend on being prosecuted, if found in any person's house, or employ; and the above reward will be given to any one who will deliver him.    GEORGE MACKENZY.    Edenton, July 24th, 1798.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1141.jpg,1141,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1141
Twenty dollars reward,1799-03-07,1797-09,"New Hanover County, NC",Wilmington,"Bladen County, NC",Wilmington,Wilmington Gazette,Quaco,William Hooper,William Hooper,"Twenty Dollars Reward. RAN away from the subscriber in the month of September 1797, a Negro Fellow named QUACO, (formerly the property of John Hall, Esquire) a Blacksmith by trade. He is about five feet ten inches high, squints much, and has a drawling tone when he speaks. He is supposed to be harboured about the plantations of Jennet Spendlove and of William Jones; in Bladen county. Any person delivering said fellow to the subscriber on the North-east, or lodging him in the goal in Wilmington, shall receive the above reward--and 20 dollars more if the said fellow has been harboured by a white man, upon conviction of the offender. William Hooper. Wilmington, February 7. tf",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_908.jpg,908,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/908
[Untitled advertisement],1799-04-19,1799-04,"Duplin County, NC",Rock Fish,"Wake County, NC",Wilmington,Wilmington Gazette,Aston,Shadrick Stallings,Shadrick Stallings,"RAN AWAY from the subscriber on Monday the 8th inst. a negro fellow named ASTON, a country born slave, about twenty-four years of age, five feet eight or nine inches high, of a yellowish complexion, and stutters when sharply spoken to--being very artful, he will in all probability, endeavor to pass for a free man--he can do a little at the coopering and shoemaking business--he had on when he went away, a light colored cloth coat, broad brim'd hat; and had with him nankeen and homespun small clothes--he was born inthe county of Wake, and may possibly make that way or to Wilmington. Any person who will apprehend and secure the said slave shall have a reward of thirty dollars & all reasonable charges, by delivering him to me at Rockfish, Duplin county, or securing in any goal, so that I get him again. SHADRICK STALLINGS. Rockfish, Duplin county, April 12.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1514.jpg,1514,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1514
Forty dollars reward,1800-08-15,1799-11-08,"Onslow County, NC",Swansboro,"down the Neuse river: Craven, Jones, Onslow Counties, NC",New Bern,Newbern Gazette,Simbo,Henry Lockey,Henry Lockey,"Forty Dollars Reward.  RAN-AWAY from the subscriber on the 8th of November last, a negro fellow named  SIMBO. He was formerly the property of Francis Burns, dec. of Francis Baras, dec. of Onslow County, he is a Methodist Preacher, and can read and write.--He is about 6 feet high very black and smooth skin, and speaks very distinct.  He is supposed to be lurking sometimes down Neuse river, and at others going up the same, and so he ranges through Craven, Jones, and Onslow counties.   Any persons apprenhending the said negro, and delivering him to the subscriber, within five miles of Swansborough, shall be entitled to the above reward--Or any person will so secure him that I get him again, shell receive Twenty Dollars.--  The most probable method to catching him, will be at Methodist meetings.  All Masters of Vessels and others are warned from harbouring, emploing or carry away, at their peril.  HENRY LOCKEY.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1156.jpg,1156,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1156
Fifty dollars reward,1800-10-20,1800-09,"Orange County, NC",Hillsborough,"Gates County, NC",Halifax,North Carolina Journal,Dick,William Kirkland,William Kirkland,"FIFTY DOLLARS REWARD. RUNAWAY from the subscriber in September last, a likely negro fellow named DICK, about twenty-four years of age of a yellow complexion, about five feet eight inches high, stout and well made. I have reason to believe the above fellow is (and has been ever since he runaway[sic] from me) in Gates county, where I believe he was raised by a Mr. Webb, from whose son (lately a professor in the University of North Carolina) I bought him in July 1799.  I will give the above reward with all reasonable expences, to any person who will deliver the said fellow to me in Hillsborough, or thirty dollars for securing him in any jail in this state so that I get him again. WIL.[William] KIRKLAND Hillsborough, July 2 1800     30 4D",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1016.jpg,1016,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1016
Ran away,1801-03-24,1801-03-21,"Wake County, NC",Raleigh,"Petersburg, VA",Raleigh,The North Carolina Minerva and Raleigh Advertiser,Stephen,Rodham Atkins,Rodham Atkins,"RAN AWAY FROM the subscriber on the 21st inst a Mulatto Man named STEPHEN, about five feet ten inches high, 26 years old; --he took with him two Dutch Blankets, and a quantity of good cloathing; he is a carpenter by trade, and understands the Mill-wright business. It is expected he will aim for Petersburg, Virginia. Twenty Five Dollars will be given if taken in this State, and Fifty Dollars if taken out. RODHAM ATKINS. Raleigh, March 23, 1801. The Printers of Newspapers in this State, South Carolina, and Virginia, are requested to publish the above three times, and send forward their accounts for payment.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_108.jpg,108,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/108
Run away,1801-03-31,1801-03-21,"Wake County, NC",Raleigh,"Petersburg, VA",Raleigh,Raleigh Register and North Carolina Weekly Advertiser,Stephen,Rodham Atkins,Rodham Atkins,"RUN AWAY, FROM the Subscriber, on the 21st Instant, a MULATTO MAN, named STEPHEN, about five Feet ten Inches high, 26 Years old.  He took with him two Dutch Blankets, and a Quantity of good Cloathing[sic].  He is a Carpenter by Trade, and understands the Millwright Business.  It is expected he is gone to Petersburg, in Virginia.  Twenty-five Dollars Reward will be paid to any Person who shall take him up in this State, and Fifty Dollars if taken in any other. RODHAM ATKINS. Raleigh, March 23.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1687.jpg,1687,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1687
Twenty-five dollars reward,1801-04-09,1801-04-09,"New Hanover County, NC",Wilmington,Fayetteville,Wilmington,Wilmington Gazette,Balaam,W.H.Hill,W.H.Hill,"Twenty-five Dollars Reward. RAN-AWAY, a stout very black Fellow named BALAAM, he is about six feet in height, 35 years of age, and limps in his gait, having  an injury in one of his hips when a child-he went away last Spring, and is probably in company with a fellow named JOE, belonging to Dr. Hill. Balaan is well known in this neighbourhood, he will probably be found in the vicinity of Fayetteville, as he has a Brother (named Nat) the property of Mr. Jackson, who lives a little below Rock-sith.   I will give the above reward to any person who deliver Balaam to my Overseer at Hilton plantation, or to the Jailer, at Wilmington. W.H. Hill.  April 9th, 1801.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_573.jpg,573,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/573
Ten dollars reward,1803-04-28,1803-04-28,"New Hanover County, NC",Wilmington,Catfish; Rockey point,Wilmington,Wilmington Gazette,Joe,Peter Wiss,Peter Wiss,"TEN DOLLARS REWARD.  ABSCONDED from the subscriber almost two months and an half since, withtout the least provocation, Negro JOE, a Taylor by trade, 26 or 28 years of age, of low stature, very black, pitted with the small pox, speake Creole French and broken English, commonly wears rings in his ears, & is marked on his right breast with the letters P.P. almost illegible. He has a wife at Mr. Henry Halsey's, near Wilmington at Catfish, or on Rockey-point, and no doubt is harboured at one of those places and works at his trade. I will give ONE HUNDRED DOLLARS for information with may lead to conviction of his being harboured by a white person, TWENTY-FIVE if by a Negro, or the above reward for apprehending and delivering him to me, or lodging him in jail so that I get him. I will also give a reward of TEN DOLLARS, for apprehending a negro man named GEORGE, who ran away from Charleston, S.C. about 8 months ago--he was formerly the property of James Morand, who sold him to Francis Fontaine, & Co. and at present belongs to Peter Goodtown, of Charleston, S.C. George is about 30 or 32 years of age, 5 feet 8 inches high or thereabouts, slim made, and very black--he has a wife at capt. James Walker's plantation, near Wilmington, where it is supposed he is harboured. Masters of vessels and all others are cautioned against harbouring, employing or carrying the said negroes away.  PETER WISS. Wilmington, April 21.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1849.jpg,1849,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1849
Fifty dollars reward,1803-05-05,1803-04-21,"Cumberland County, NC",Fayetteville,Wilmington,Wilmington,Wilmington Gazette,Isaac,James Beggs,James Beggs,"Fifty Dollars Reward. RAN away from the subscriber the 21st of April last, a mulatto slave named ISAAC about 5 feet 8 and 1-2 inches high and 27 years of age, he is thick lipped, with a small scar on the upper lip, a lump on one of his big toes, and a very small bit off the back part of one of his ears. He dresses well, and will most probably pretend he is free. He was raised by Mr. Whitfield, in Wayne county, and I had him from Archibald Maclaine Hooper, of Wilmington, where I rather suppose he is gone, or lurking on the way. He was formerly a rough Carpenter, and I have taught him a little of the business of making Riding Chairs. Any person who take him up and secure him so that I get him again shall be entitled to the above reward of Fifty Dollars . JAMES BEGGS.  Fayeteville, May 2--5w.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_970.jpg,970,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/970
One hundred dollars reward,1803-08-08,1801-01-04,"Jones  County, NC","Trenton, NC","Brunswick County, NC","Raleigh, NC",Raleigh Register and North Carolina Weekly Advertiser,Prince,John T. Bryan,John T. Bryan,"One Hundred Dollars Reward. RAN AWAY from me at Trenton in Jones County, 4th January, 1801, a Negro Fellow named PRINCE aged 28 years; he is upwards of five feet high, dark complexion, tolerably well set, has a large Lump on the pit of his stomach, and a black place on the Crown of his Head; has a stoppage in his speech, which was broken English, and wore his Hair queued.  I expect he will attempt to pass for a freeman.  I have been informed that he has some Family Connextions among the Negroes of General Benjamin Smith, of Brunswick county, and perhaps is working about there. I will give the above Reward to any person who will lodge him in any Goal in the United States, or deliver him to me 15 miles above Kinston; in case of his being in Goal, I shall expect the Person who apprehends him, to give me Notice by Post, directed by Kinston. I will also give a Reward of Fifty Dollars to any one who will give Information of his being aided or assisted by any white Person, so that they may be prosecuted to Conviction. JOHN T. BRYAN. Lenoir County, July 13, 1803. The Printers at Wilmington and Charleston are requested to give the above a Place in their Papers for three Weeks, and send them to me at Kinston, together with their Bills, and they shall be paid.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1481.jpg,1481,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1481
Twenty dollars reward,1803-10-11,1803-03-04,"New Hanover County, NC",Wilmington,Southwest branch of the New river,Wilmington,Wilmington Gazette,Hardy,Alexander Strahan,Alexander Strahan,"Twenty Dollars Reward. RAN AWAY from the subscriber, at Wilmington, on the 4th of March last, a likely Negro Man named HARDY, about twenty one years of age, five feet eight or nine inches high. He is branded on the right breast with the letters A.S. was formerly the property of Mrs. Benjamin Mashburn, on the South-West branch of New-River, where I have not the least doubt he is now harboured. I will give a reward of Twenty Dollars to any person who will take up the said runaway negro and safely deliver him at my plantation on Black-River, or confine him in the jail of Wilmington so that I get him. I will give a further reward of Twenty-Five Dollars, to any person who will give me information, that may lead to conviction, of his being harboured by a white person. Masters of vessels and all other persons are hereby forbid harbouring, employing or carrying away the said runaway slave. If he returns home in two months from the date hereof, he shall not be punished, but should he not return by that period, not be apprehended, he shall be Outlawed and a reward offered for his head. ALEX.[ALEXANDER] STRAHAN. October 4.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_927.jpg,927,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/927
Ten dollars reward,1803-12-27,1803-11-27,"Brunswick County, NC",Smithville,"Charleston, SC",Wilmington,Wilmington Gazette,Hannah,John Gause Junior,John Gause,"Ten Dollars Reward. RAN-AWAY from Mr. Sampronius Rufs in Smithville, on the 27th of Novemeber, a Negro Girl, about 16 or 17 years of age, of a yellowish complection[sic] named HANNAH, she went up the river with some negroes of General Smith in a boat for his plantation, to Wilmington; she will probably embrace the first opportunity of going to Charleston; all masters of vessels will avoid carrying her off. The above reward will be paid for securing her in Wilmington Jail, and giving the subscriber notice, or fifteen dollars if delivered at his plantation on Charlotte, Brunswick County. JOHN GAUSE, Jun. December 5, 1803.--[illegible]--",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1378.jpg,1378,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1378
Ranaway,1804-10-29,1804-10-23,"Wake County, NC",Raleigh,"Norfolk, VA",Raleigh,The North Carolina Minerva and Raleigh Advertiser,Sam,Henry H. Cooke,Henry H. Cooke,"RANAWAY,   FROM the Subscriber, living in Raleigh, on the night of the 23rd instant, a Negro Boy named SAM, about 18 years old, about 5 feet 7, well built of a good countenace, stutters much when speaking. He has with him two blue coats, one short and one long, a new hat with a small brim, and a bundle of cloathing. It is expected he will aim for Norfolk, as he has once before tried to get there. I will give a generous reward and pay all reasonable charges to any person who will bring him to me or secure him in any jail so that I get him again. HENRY H. COOKE.  Oct. 26, 1804.  N.B. He ran away this summer a year ago & was apprehended at Mosley's Ferry on Roanoke and was confined to Warren jail for some time.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1596.jpg,1596,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1596
[Untitled advertisement],1804-12-04,1804-11-26,"New Hanover County, NC",Long Creek,"Wilmington, NC",Wilmington,Wilmington Gazette,Jack,Thomas Lewis,Thomas Lewis,"RAN AWAY from the subscriber on Monday the 26th of November last, a yellow Fellow named JACK, about five feet eight inches high or thereabouts, twenty-two years of age, full faced, and stout made--carried away with him considerable clothing, too tedious to mention, which will enable him to change his dress often--he had on when he went away a pair of shoes made with leather strings, which may be notable, and had with him a Dutch blanket and a brown great coat. I suppose said Negro will endeavour to secret himself at Mr. Swann's quarter or in Wilmington, as he has an extensive acquaintance in the county.  As the said Fellow may possibly procure a free pass, I hereby caution all masters of vessels and others, against harbouring, employing or carrying him away. Whoever will apprehend the said slave Jack, and deliver him to me at my plantation on Long-creek, or confine him in jail and give me notice thereof, so that I [get] him, shall receive Ten Dollars Reward. THOMAS LEWIS. New-Hanover county Dec. 3.--3wpd.",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1513.jpg,1513,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1513
25 dollars reward,1805-06-03,1805-04-28,"Macon County, NC","Franklin, NC","Norfolk, VA","Halifax, NC",North Carolina Journal,Davy,James B. Bryant,James B. Bryant,"25 Dollars Reward/ RUN-AWAY from the subscriber the 20th of May last, a few miles below Tarborough, a negro man named Davy, about 20 years of age, he is about five feet eight inches high, of a yellow complexion, inclined to be knock-kneed, had an impediment in his speech, and puts his finger and thumb to his mouth when he speaks, two of this teeth on one side and one on the other of his underjaws are indented, his knuckles on both hads are scarred, occasioned he said by being frost bitten, had on when he went away a long washed blue coat--I purchased him a few day before at Avenborough on Cape Fear of a man calling himself Edward Davis living in Warren county.  Any person apprehending said negro, and confine him in any jail, or deliver him to the subscriber or in the hands of Arthur Bell, living about 22 miles below the town of Halifax, shall be [illegible] to the above reward, and all reasonable expenses paid. James B. Bryant. June 17th, 1805.    74",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_27.jpg,27,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/27
[Untitled advertisement],1805-08-12,1805-07-22,"Richmond County, NC",Rockingham,"Raleigh, NC",Raleigh,The North Carolina Minerva and Raleigh Advertiser,Jacob,Benjamin Long,Benjamin Long,"RAN-AWAY FROM the subscriber on the 22d instant, a Negro Man named JACOB:--he is about 24 or 25 years old, black skin, and very stout made. As he was purchased from Col. William Polk, living in Raleigh, it is probable he is lurking about that place. Whoever will apprehend said negro and secure him in any jail, shall be generously rewarded by, BENJAMIN LONG. Rockingham Richmond} County, July 28, 1805}",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_1578.jpg,1578,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/1578
Twenty dollars reward,1805-12-09,1805-11-24,"Rutherford County, NC",Rutherfordton,"Caswell County, NC",Raleigh,The North Carolina Minerva and Raleigh Advertiser,Jim,Richard Lewis,Richard Lewis,"TWENTY DOLLARS REWARD. RUNAWAY from the subscriber, living in Rutherford county, near Rutherfordton, N.C. on the 24th of November, 1805, a Negro Man named JIM, about 35 years of age, 6 feet high, yellow complected, good countenance, appears bashful and humble when spoken to, lisps a little; he took off  a number of cloathes, viz. a long homespun blue coat, a brown broad cloth coat, somewhat worn, and shoe-boots; he understands shoemaking and coopering, &c. &c. I bought him from a gentleman of Caswell county, where he has a wife and children and it is expected he intends going to them. He rode off a bay horse about six years old, well made, 15 hands high, thin hairs in his forehead in the shape of a star, shod all round and trots natural. Whoever secures the said fellow and horse, and gives me notice, shall receive the above reward and reasonable expences for keeping them, from  RICHARD LEWIS Dec. 9",http://excavatingtheslaveexperience.org/fugitive_slave_ads/RAS_675.jpg,675,http://rightsstatements.org/vocab/NoC-US/1.0/,http://libcdm1.uncg.edu/cdm/ref/collection/RAS/id/675
